2026-03-08 06:23:54 | INFO     |                 |        |      | services.notifications.telegram_v2:_start_queue_processor:168 | [TelegramV2] Pool de 5 workers iniciado
2026-03-08 06:40:21 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:40:43 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:41:27 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:41:44 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:42:07 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:42:18 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:42:39 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:43:02 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:43:14 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:43:26 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:43:49 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:44:12 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:44:24 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:44:34 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:44:44 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:45:06 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:45:17 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:45:28 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:45:39 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:45:59 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:46:10 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:46:32 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:46:53 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:47:05 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:47:17 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:47:40 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:47:51 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:48:18 | INFO     |                 |        |      | services.notifications.telegram_v2:_worker_loop:210 | [TelegramV2] [worker-4] Worker cancelado
2026-03-08 06:48:18 | INFO     |                 |        |      | services.notifications.telegram_v2:_worker_loop:210 | [TelegramV2] [worker-5] Worker cancelado
2026-03-08 06:48:18 | INFO     |                 |        |      | services.notifications.telegram_v2:_worker_loop:210 | [TelegramV2] [worker-3] Worker cancelado
2026-03-08 06:48:18 | INFO     |                 |        |      | services.notifications.telegram_v2:_worker_loop:210 | [TelegramV2] [worker-2] Worker cancelado
2026-03-08 06:48:18 | INFO     |                 |        |      | services.notifications.telegram_v2:_worker_loop:210 | [TelegramV2] [worker-1] Worker cancelado
